Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,56680,80,1717489764.8049471,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42538,80,1717489764.8049476,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42538,80,1717489764.8049476,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42538,80,1717489764.8049476,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42538,80,1717489764.8052623,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55433,80,1717489764.8052626,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55433,80,1717489764.8055637,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55433,80,1717489764.805564,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55433,80,1717489764.8059351,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,49181,80,1717489764.8059354,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,49181,80,1717489764.8066359,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51905,80,1717489764.806636,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51905,80,1717489764.806636,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51905,80,1717489764.8066363,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51905,80,1717489764.8092573,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42655,80,1717489764.809258,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42655,80,1717489764.809258,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42655,80,1717489764.8092582,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42655,80,1717489764.8092582,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,49961,80,1717489764.8092582,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,49961,80,1717489764.8092585,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,49961,80,1717489764.8092585,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,49961,80,1717489764.8093987,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38221,80,1717489764.8093991,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38221,80,1717489764.8093994,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38221,80,1717489764.8093994,,UDP Flood,3232270729,3232270731
